# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -1.2663e-03, 0.0000e+00
0, -6.6164e-03, 0.0000e+00
0, -5.6933e-03, 0.0000e+00
0, -5.6282e-03, 0.0000e+00
0, -4.9934e-03, 0.0000e+00
0, -4.3303e-03, 0.0000e+00
0, -1.5234e-03, 0.0000e+00
0, -6.3916e-04, 0.0000e+00
0, -1.4549e-03, 0.0000e+00
0, -1.2871e-03, 0.0000e+00
0, -1.0576e-03, -1.3206e-01
0, -9.1286e-04, -1.8267e-01
0, -3.0500e-03, -1.0673e-01
0, -5.0910e-03, -8.5425e-02
0, -2.0797e-03, -4.3503e-02
0, -5.0915e-03, -4.6869e-02
0, -4.3808e-03, -2.6818e-02
0, -5.1916e-03, -2.9617e-02
0, -3.3298e-04, -2.0957e-02
0, 2.7885e-04, -1.6459e-03
0, -1.7435e-03, -6.1899e-03
0, -7.7850e-04, -3.4596e-02
0, -6.8234e-04, -3.6938e-02
0, -1.0414e-03, -3.0499e-02
0, -1.6443e-03, -2.8149e-02
0, -2.1067e-03, -3.9799e-02
0, -1.6792e-03, -4.4930e-02
0, -1.7361e-03, -3.6779e-02
0, -2.0004e-03, -2.8131e-02
0, -1.5565e-03, -1.1894e-02
0, -2.3029e-03, -2.0048e-02
0, -1.8147e-03, -7.0913e-03
0, -2.2533e-03, -1.4315e-02
0, -1.4248e-03, -3.2747e-02
0, -1.4588e-03, -3.9762e-02
0, -4.5040e-04, -2.6205e-02
0, -1.4739e-03, -3.7174e-02
0, -1.8173e-03, -4.2496e-02
0, -2.2065e-03, -4.8222e-02
0, -2.3783e-03, -5.2096e-02
0, -2.5371e-03, -4.8109e-02
0, -2.5449e-03, -3.7609e-02
0, -1.7082e-04, -2.5738e-02
0, -2.1601e-03, -3.0023e-02
0, -2.5416e-03, -3.7590e-02
0, -2.2883e-03, -4.2555e-02
0, -2.2240e-03, -4.4398e-02
0, -2.7567e-03, -4.9486e-02
0, 1.4430e-01, -6.3184e-02
