# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -3.8174e-03, 0.0000e+00
0, -1.9602e-02, 0.0000e+00
0, -1.9792e-02, 0.0000e+00
0, -1.1118e-02, 0.0000e+00
0, -8.6137e-03, 0.0000e+00
0, -4.6333e-03, 0.0000e+00
0, -4.8211e-03, 0.0000e+00
0, -2.1959e-03, 0.0000e+00
0, -1.9975e-03, 0.0000e+00
0, -6.4783e-04, 0.0000e+00
0, -8.7202e-04, -6.9240e-02
0, -9.2886e-04, -4.4882e-02
0, -2.7910e-03, -1.8589e-02
0, -4.4833e-03, -1.0502e-02
0, -3.4520e-03, -1.4494e-02
0, -3.7973e-03, -5.5893e-03
0, -2.1903e-03, -7.0104e-03
0, -2.1921e-03, -2.6946e-03
0, -1.5136e-03, -6.5434e-04
0, -1.7841e-03, -1.3049e-03
0, -1.1424e-03, -1.4982e-03
0, -1.1487e-03, -8.7778e-03
0, -8.6316e-04, -1.4162e-02
0, -9.5984e-04, -1.3273e-02
0, -6.3858e-04, -4.0179e-03
0, -4.5635e-04, -7.3918e-03
0, -4.4456e-04, -2.0754e-03
0, -9.8298e-04, -3.6912e-03
0, -1.1209e-03, -2.5457e-03
0, -1.0447e-03, -2.4171e-03
0, 2.9308e-04, 7.5943e-04
0, -3.6603e-04, -6.7825e-05
0, -3.1530e-04, -5.8147e-04
0, -3.0117e-04, -1.2150e-04
0, -1.8405e-04, 4.1907e-04
0, -1.3236e-04, 8.1936e-04
0, -1.6766e-04, 2.2273e-04
0, -2.0124e-04, 6.0469e-04
0, -2.0538e-04, -1.5675e-05
0, -2.4913e-04, -2.1850e-04
0, -2.1945e-04, -9.2410e-04
0, -2.4533e-04, -1.0433e-03
0, -2.7792e-04, -7.7465e-04
0, -5.6894e-05, -7.4234e-04
0, -1.8613e-04, -5.6457e-04
0, -1.8761e-04, -5.8388e-04
0, -1.2650e-04, -5.3856e-04
0, -4.8335e-05, -4.0657e-04
0, 1.6411e-03, -5.7751e-04
