# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -1.9619e-03, 0.0000e+00
0, -8.3174e-03, 0.0000e+00
0, -9.3478e-03, 0.0000e+00
0, -5.6740e-03, 0.0000e+00
0, -4.5456e-03, 0.0000e+00
0, -2.1848e-03, 0.0000e+00
0, -2.9244e-03, 0.0000e+00
0, -1.0680e-03, 0.0000e+00
0, -1.6294e-03, 0.0000e+00
0, -5.4289e-04, 0.0000e+00
0, -7.1225e-04, -1.2678e-01
0, -7.8432e-04, -8.8553e-02
0, -2.1920e-03, -3.7990e-02
0, -3.8265e-03, -2.0899e-02
0, -3.2270e-03, -2.8897e-02
0, -3.8380e-03, -1.2929e-02
0, -2.2249e-03, -1.7334e-02
0, -2.6032e-03, -7.5619e-03
0, -1.7056e-03, -2.0186e-03
0, -2.3907e-03, -4.2130e-03
0, -1.6910e-03, -5.3770e-03
0, -1.8236e-03, -3.4935e-02
0, -1.4523e-03, -6.1543e-02
0, -1.6363e-03, -6.1214e-02
0, -1.0053e-03, -1.8738e-02
0, -1.0245e-03, -3.0838e-02
0, -7.0917e-04, -1.0085e-02
0, -2.1444e-03, -1.8656e-02
0, -2.5200e-03, -1.4264e-02
0, -2.6088e-03, -1.4869e-02
0, 9.1324e-04, 5.1601e-03
0, -9.1018e-04, -4.0524e-04
0, -9.5773e-04, -3.4953e-03
0, -9.3567e-04, -8.0409e-04
0, -5.6860e-04, 2.9566e-03
0, -3.7734e-04, 6.3910e-03
0, -6.7794e-04, 1.6560e-03
0, -7.7360e-04, 4.8854e-03
0, -8.7348e-04, -1.3483e-04
0, -1.0252e-03, -2.1102e-03
0, -8.7721e-04, -1.0046e-02
0, -9.9468e-04, -1.2268e-02
0, -1.2596e-03, -9.2858e-03
0, -1.5807e-04, -9.0835e-03
0, -8.7841e-04, -5.7495e-03
0, -1.0253e-03, -5.5902e-03
0, -7.3257e-04, -5.6195e-03
0, -2.8301e-04, -4.7387e-03
0, 2.0916e-02, -7.0351e-03
