# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -7.7198e-04, 0.0000e+00
0, -3.0966e-03, 0.0000e+00
0, -3.6706e-03, 0.0000e+00
0, -2.3242e-03, 0.0000e+00
0, -1.8682e-03, 0.0000e+00
0, -7.5267e-04, 0.0000e+00
0, -1.2131e-03, 0.0000e+00
0, -2.6758e-04, 0.0000e+00
0, -8.0375e-04, 0.0000e+00
0, -3.3811e-04, 0.0000e+00
0, -3.9257e-04, -1.6867e-01
0, -3.9689e-04, -1.2517e-01
0, -1.0687e-03, -5.4591e-02
0, -1.9794e-03, -2.8067e-02
0, -1.7661e-03, -3.5820e-02
0, -2.1846e-03, -1.7687e-02
0, -1.2539e-03, -2.3295e-02
0, -1.6199e-03, -1.1557e-02
0, -1.0057e-03, -3.1561e-03
0, -1.5488e-03, -6.3574e-03
0, -1.1871e-03, -8.5162e-03
0, -1.3138e-03, -7.1794e-02
0, -1.0607e-03, -1.3599e-01
0, -1.1909e-03, -1.4065e-01
0, -7.0847e-04, -4.2339e-02
0, -9.0013e-04, -5.9309e-02
0, -5.2601e-04, -2.1708e-02
0, -1.8549e-03, -4.3094e-02
0, -2.1945e-03, -3.4829e-02
0, -2.4985e-03, -3.8324e-02
0, 9.5057e-04, 1.4016e-02
0, -7.8543e-04, -9.5413e-04
0, -9.6335e-04, -7.5944e-03
0, -9.3996e-04, -1.8462e-03
0, -5.3974e-04, 6.9638e-03
0, -3.0579e-04, 1.6415e-02
0, -7.2681e-04, 3.8362e-03
0, -8.0771e-04, 1.1914e-02
0, -9.7311e-04, -3.4221e-04
0, -1.1112e-03, -6.1205e-03
0, -9.1395e-04, -3.3707e-02
0, -1.0276e-03, -4.4760e-02
0, -1.4181e-03, -3.3774e-02
0, -1.1781e-04, -3.2021e-02
0, -1.0449e-03, -1.5437e-02
0, -1.3229e-03, -1.2327e-02
0, -9.8303e-04, -1.2233e-02
0, -3.6456e-04, -1.1361e-02
0, 6.3606e-02, -1.6305e-02
