# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -3.5256e-04, 0.0000e+00
0, -1.3908e-03, 0.0000e+00
0, -1.6784e-03, 0.0000e+00
0, -1.0788e-03, 0.0000e+00
0, -8.6542e-04, 0.0000e+00
0, -3.1355e-04, 0.0000e+00
0, -5.4975e-04, 0.0000e+00
0, -7.2055e-05, 0.0000e+00
0, -3.8464e-04, 0.0000e+00
0, -1.9072e-04, 0.0000e+00
0, -2.0980e-04, -1.8416e-01
0, -1.9942e-04, -1.4165e-01
0, -5.1749e-04, -6.2680e-02
0, -9.8753e-04, -3.0970e-02
0, -9.0289e-04, -3.6864e-02
0, -1.1317e-03, -1.8801e-02
0, -6.4702e-04, -2.3519e-02
0, -8.6644e-04, -1.2556e-02
0, -5.2253e-04, -3.3374e-03
0, -8.3311e-04, -6.2044e-03
0, -6.6286e-04, -8.2271e-03
0, -7.3656e-04, -9.1695e-02
0, -5.9270e-04, -1.8122e-01
0, -6.5799e-04, -1.9173e-01
0, -3.9345e-04, -5.7067e-02
0, -5.4114e-04, -7.2068e-02
0, -3.0845e-04, -2.7705e-02
0, -1.1209e-03, -5.8205e-02
0, -1.3252e-03, -4.8027e-02
0, -1.6502e-03, -5.4138e-02
0, 6.1206e-04, 2.0162e-02
0, -4.6608e-04, -1.2803e-03
0, -6.0887e-04, -9.3875e-03
0, -5.9106e-04, -2.2965e-03
0, -3.2575e-04, 8.6316e-03
0, -1.6555e-04, 2.1443e-02
0, -4.5107e-04, 4.6045e-03
0, -4.9005e-04, 1.4427e-02
0, -6.0672e-04, -4.1852e-04
0, -6.8191e-04, -8.1422e-03
0, -5.5574e-04, -4.9668e-02
0, -6.1125e-04, -7.0115e-02
0, -8.7501e-04, -5.3066e-02
0, -6.9403e-05, -4.9070e-02
0, -6.8352e-04, -1.9809e-02
0, -8.8540e-04, -1.3375e-02
0, -6.6087e-04, -1.2598e-02
0, -2.4498e-04, -1.2185e-02
0, 8.6286e-02, -1.6666e-02
