# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -2.4901e-03, 0.0000e+00
0, -1.4181e-02, 0.0000e+00
0, -1.1609e-02, 0.0000e+00
0, -1.0730e-02, 0.0000e+00
0, -8.7620e-03, 0.0000e+00
0, -7.0859e-03, 0.0000e+00
0, -2.4944e-03, 0.0000e+00
0, -1.4148e-03, 0.0000e+00
0, -1.9118e-03, 0.0000e+00
0, -1.7327e-03, 0.0000e+00
0, -1.3497e-03, -8.5192e-02
0, -1.0978e-03, -1.1098e-01
0, -4.1425e-03, -6.0178e-02
0, -6.5133e-03, -4.7391e-02
0, -2.6742e-03, -2.2826e-02
0, -6.0159e-03, -2.2375e-02
0, -5.0422e-03, -1.1920e-02
0, -5.4065e-03, -1.2440e-02
0, -4.0445e-04, -8.2009e-03
0, -5.0029e-06, -6.1574e-04
0, -1.6599e-03, -2.5636e-03
0, -6.4269e-04, -1.6273e-02
0, -6.2939e-04, -1.5880e-02
0, -9.9451e-04, -1.2488e-02
0, -1.4823e-03, -1.1454e-02
0, -1.7582e-03, -1.5839e-02
0, -1.3873e-03, -1.6578e-02
0, -1.4677e-03, -1.2413e-02
0, -1.6351e-03, -9.0868e-03
0, -1.2405e-03, -3.7225e-03
0, -1.6133e-03, -6.3471e-03
0, -1.2611e-03, -2.1214e-03
0, -1.4325e-03, -4.8374e-03
0, -8.5117e-04, -1.1023e-02
0, -9.2642e-04, -1.2054e-02
0, -4.0597e-04, -7.3248e-03
0, -8.7011e-04, -1.0610e-02
0, -1.0489e-03, -1.1116e-02
0, -1.2329e-03, -1.1538e-02
0, -1.2584e-03, -1.1602e-02
0, -1.2566e-03, -1.0059e-02
0, -1.2172e-03, -7.3810e-03
0, -7.8056e-05, -4.7781e-03
0, -9.4198e-04, -5.5310e-03
0, -1.0105e-03, -6.9752e-03
0, -8.6620e-04, -7.5648e-03
0, -7.9566e-04, -7.4420e-03
0, -9.5823e-04, -8.0430e-03
0, 2.3355e-02, -9.8332e-03
