# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
0, -9.0082e-05, 0.0000e+00
0, -3.4991e-04, 0.0000e+00
0, -4.2696e-04, 0.0000e+00
0, -2.7704e-04, 0.0000e+00
0, -2.2173e-04, 0.0000e+00
0, -7.3609e-05, 0.0000e+00
0, -1.3730e-04, 0.0000e+00
0, -7.7420e-06, 0.0000e+00
0, -9.8586e-05, 0.0000e+00
0, -5.6150e-05, 0.0000e+00
0, -6.0075e-05, -1.9329e-01
0, -5.4589e-05, -1.5335e-01
0, -1.3536e-04, -6.9014e-02
0, -2.6436e-04, -3.3058e-02
0, -2.4580e-04, -3.6643e-02
0, -3.1074e-04, -1.8917e-02
0, -1.7703e-04, -2.1909e-02
0, -2.4236e-04, -1.2394e-02
0, -1.4279e-04, -3.0883e-03
0, -2.3236e-04, -4.9844e-03
0, -1.8966e-04, -6.2034e-03
0, -2.1053e-04, -1.0574e-01
0, -1.6808e-04, -2.1716e-01
0, -1.8404e-04, -2.3455e-01
0, -1.1321e-04, -6.9153e-02
0, -1.6139e-04, -7.9441e-02
0, -9.3619e-05, -3.1565e-02
0, -3.3870e-04, -7.0240e-02
0, -4.0000e-04, -5.8693e-02
0, -6.5552e-04, -6.7469e-02
0, 1.9158e-04, 2.5479e-02
0, -1.3895e-04, -1.5587e-03
0, -1.8869e-04, -1.0482e-02
0, -1.8232e-04, -2.5344e-03
0, -9.7408e-05, 9.3681e-03
0, -4.5680e-05, 2.4430e-02
0, -1.3646e-04, 4.8175e-03
0, -1.4487e-04, 1.5001e-02
0, -1.8206e-04, -4.3660e-04
0, -2.0156e-04, -9.1631e-03
0, -1.7181e-04, -6.1591e-02
0, -1.8325e-04, -9.2139e-02
0, -2.6329e-04, -7.0261e-02
0, -2.3534e-05, -6.3693e-02
0, -2.1514e-04, -2.1967e-02
0, -2.8141e-04, -1.2445e-02
0, -2.0881e-04, -1.0927e-02
0, -7.9188e-05, -1.0807e-02
0, 1.0081e-01, -1.4126e-02
