# Each row is one day
#  Day, Drift Advantage, Bet Advantage
0, 0.0000e+00, 0.0000e+00
1, -1.9748e-01, 0.0000e+00
2, -8.9502e-02, 0.0000e+00
3, -5.0966e-02, 0.0000e+00
4, -3.1246e-02, 0.0000e+00
5, -1.9656e-02, 0.0000e+00
6, -1.2512e-02, 0.0000e+00
7, -8.0188e-03, 0.0000e+00
8, -5.1666e-03, 0.0000e+00
9, -3.3389e-03, 0.0000e+00
10, -2.1625e-03, 0.0000e+00
11, -1.4005e-03, 0.0000e+00
12, 2.9355e-02, 0.0000e+00
13, 2.1210e-03, 0.0000e+00
14, -1.7823e-02, 0.0000e+00
15, -2.7530e-02, 0.0000e+00
16, -3.0122e-02, 0.0000e+00
17, -2.8275e-02, 0.0000e+00
18, -2.3891e-02, 0.0000e+00
19, -1.8528e-02, 0.0000e+00
20, -1.3359e-02, 0.0000e+00
21, -9.0782e-03, 0.0000e+00
22, -5.9234e-03, 0.0000e+00
23, -1.2644e-02, 0.0000e+00
24, -1.2397e-02, 0.0000e+00
25, -9.1758e-03, 0.0000e+00
26, -6.2734e-03, 0.0000e+00
27, -4.5262e-03, 0.0000e+00
28, -3.6898e-03, 0.0000e+00
29, -3.3643e-03, 0.0000e+00
30, -3.2640e-03, 0.0000e+00
31, -3.2531e-03, 0.0000e+00
32, -3.2758e-03, 0.0000e+00
33, -3.2885e-03, 0.0000e+00
34, -1.6447e-03, 0.0000e+00
35, -4.0091e-03, 0.0000e+00
36, -1.0819e-02, 0.0000e+00
37, -1.9328e-02, 0.0000e+00
38, -2.6112e-02, 0.0000e+00
39, -2.8969e-02, 0.0000e+00
40, -2.7621e-02, 0.0000e+00
41, -2.3338e-02, 0.0000e+00
42, -1.7952e-02, 0.0000e+00
43, -1.2903e-02, 0.0000e+00
44, -8.8794e-03, 0.0000e+00
45, -6.0727e-03, 0.0000e+00
46, -3.6848e-03, 0.0000e+00
47, -1.5148e-03, 0.0000e+00
48, 1.4847e-04, 0.0000e+00
49, 9.9919e-04, 0.0000e+00
50, 9.5098e-04, 0.0000e+00
51, 6.8266e-05, 0.0000e+00
52, -1.4706e-03, 0.0000e+00
53, -3.4430e-03, 0.0000e+00
54, -5.5663e-03, 0.0000e+00
55, -7.5064e-03, 0.0000e+00
56, -9.0623e-03, 0.0000e+00
57, -1.0681e-02, 0.0000e+00
58, -1.2693e-02, 0.0000e+00
59, -1.4755e-02, 0.0000e+00
60, -1.5991e-02, 0.0000e+00
61, -1.5694e-02, 0.0000e+00
62, -1.3856e-02, 0.0000e+00
63, -1.1078e-02, 0.0000e+00
64, -8.1156e-03, 0.0000e+00
65, -5.5450e-03, 0.0000e+00
66, -3.6019e-03, 0.0000e+00
67, -2.2172e-03, 0.0000e+00
68, -1.1813e-03, 0.0000e+00
69, -3.5032e-04, 0.0000e+00
70, 2.7995e-04, 0.0000e+00
71, 5.8054e-04, 0.0000e+00
72, 3.7766e-04, 0.0000e+00
73, -4.9341e-04, 0.0000e+00
74, -2.0980e-03, 0.0000e+00
75, -4.3364e-03, 0.0000e+00
76, -6.8662e-03, 0.0000e+00
77, -9.1740e-03, 0.0000e+00
78, -1.0721e-02, 0.0000e+00
79, -1.1260e-02, 0.0000e+00
80, -1.0885e-02, 0.0000e+00
81, -9.8744e-03, 0.0000e+00
82, -8.5065e-03, 0.0000e+00
83, -6.9678e-03, 0.0000e+00
84, -5.3829e-03, 0.0000e+00
85, -3.8842e-03, 0.0000e+00
86, -2.5783e-03, 0.0000e+00
87, -1.5455e-03, 0.0000e+00
88, -8.2744e-04, 0.0000e+00
89, -4.2498e-04, 0.0000e+00
90, -2.9957e-04, 0.0000e+00
91, -4.1819e-04, 0.0000e+00
92, -7.6792e-04, 0.0000e+00
93, -1.3801e-03, 0.0000e+00
94, -2.3102e-03, 0.0000e+00
95, -3.5956e-03, 0.0000e+00
96, -5.1731e-03, 0.0000e+00
97, -6.8432e-03, 0.0000e+00
98, -8.2482e-03, 0.0000e+00
0, 4.9869e-02, 0.0000e+00
